cpusnort,psize,tcpflows,ratep,tput
1,64,256,500,7
1,64,256,1000,15
1,64,256,1500,22
1,64,256,2000,30
1,64,256,2500,37
1,64,256,3000,44
1,64,1000,500,7
1,64,1000,1000,15
1,64,1000,1500,22
1,64,1000,2000,30
1,64,1000,2500,37
1,64,1000,3000,44
1,64,4000,500,7
1,64,4000,1000,15
1,64,4000,1500,22
1,64,4000,2000,30
1,64,4000,2500,37
1,64,4000,3000,44
1,64,8000,500,7
1,64,8000,1000,15
1,64,8000,1500,22
1,64,8000,2000,30
1,64,8000,2500,37
1,64,8000,3000,44
1,64,16000,500,7
1,64,16000,1000,15
1,64,16000,1500,22
1,64,16000,2000,30
1,64,16000,2500,37
1,64,16000,3000,44
1,64,32000,500,7
1,64,32000,1000,15
1,64,32000,1500,22
1,64,32000,2000,29
1,64,32000,2500,37
1,64,32000,3000,44
1,128,256,500,15
1,128,256,1000,30
1,128,256,1500,44
1,128,256,2000,59
1,128,256,2500,74
1,128,256,3000,89
1,128,1000,500,15
1,128,1000,1000,30
1,128,1000,1500,44
1,128,1000,2000,59
1,128,1000,2500,74
1,128,1000,3000,89
1,128,4000,500,15
1,128,4000,1000,30
1,128,4000,1500,44
1,128,4000,2000,59
1,128,4000,2500,74
1,128,4000,3000,88
1,128,8000,500,15
1,128,8000,1000,30
1,128,8000,1500,44
1,128,8000,2000,59
1,128,8000,2500,74
1,128,8000,3000,89
1,128,16000,500,15
1,128,16000,1000,30
1,128,16000,1500,44
1,128,16000,2000,59
1,128,16000,2500,74
1,128,16000,3000,89
1,128,32000,500,15
1,128,32000,1000,30
1,128,32000,1500,44
1,128,32000,2000,59
1,128,32000,2500,74
1,128,32000,3000,89
1,256,256,500,30
1,256,256,1000,59
1,256,256,1500,88
1,256,256,2000,118
1,256,256,2500,148
1,256,256,3000,177
1,256,1000,500,30
1,256,1000,1000,59
1,256,1000,1500,89
1,256,1000,2000,118
1,256,1000,2500,148
1,256,1000,3000,177
1,256,4000,500,30
1,256,4000,1000,59
1,256,4000,1500,89
1,256,4000,2000,118
1,256,4000,2500,148
1,256,4000,3000,177
1,256,8000,500,30
1,256,8000,1000,59
1,256,8000,1500,89
1,256,8000,2000,118
1,256,8000,2500,148
1,256,8000,3000,177
1,256,16000,500,30
1,256,16000,1000,59
1,256,16000,1500,89
1,256,16000,2000,118
1,256,16000,2500,148
1,256,16000,3000,177
1,256,32000,500,30
1,256,32000,1000,59
1,256,32000,1500,89
1,256,32000,2000,118
1,256,32000,2500,148
1,256,32000,3000,177
1,512,256,500,59
1,512,256,1000,118
1,512,256,1500,177
1,512,256,2000,236
1,512,256,2500,295
1,512,256,3000,354
1,512,1000,500,59
1,512,1000,1000,118
