cpusnort,psize,tcpflows,tput
1,64,256,623
1,64,1000,633
1,64,4000,602
1,64,8000,605
1,64,16000,630
1,64,32000,652
1,128,256,648
1,128,1000,616
1,128,4000,573
1,128,8000,568
1,128,16000,623
1,128,32000,750
1,256,256,707
1,256,1000,561
1,256,4000,735
1,256,8000,555
1,256,16000,729
1,256,32000,713
1,512,256,703
1,512,1000,753
1,512,4000,750
1,512,8000,752
1,512,16000,593
1,512,32000,711
1,1024,256,688
1,1024,1000,597
1,1024,4000,689
1,1024,8000,755
1,1024,16000,743
1,1024,32000,608
2,64,256,1431
2,64,1000,1340
2,64,4000,1375
2,64,8000,1350
2,64,16000,1364
2,64,32000,1333
2,128,256,1343
2,128,1000,1318
2,128,4000,1413
2,128,8000,1404
2,128,16000,1255
2,128,32000,1353
2,256,256,1296
2,256,1000,1312
2,256,4000,1510
2,256,8000,1389
2,256,16000,1489
2,256,32000,1126
2,512,256,1384
2,512,1000,1444
2,512,4000,1468
2,512,8000,1425
2,512,16000,1490
2,512,32000,1339
2,1024,256,1466
2,1024,1000,1483
2,1024,4000,1155
2,1024,8000,1459
2,1024,16000,1463
2,1024,32000,1238
